address,city,state,zip, price , sqft ,bedrooms,bathrooms,property age,parking,heating,basement,attic,green_bldg,age_in_years, price_per_sqft ,seller_rating,sale_type,price_range,cluster,property_score
502 Woodland Rd,Sewickley,PA,15143,"$1,799,000.00 ",,4,5,1963,1,1,0,0,0,54,,3.9,House,Above $ 1m,cluster2,Three
251 Scaife Rd,Sewickley,PA,15143,"$1,795,000.00 ",,6,8,1961,0,0,0,0,0,56,,4.5,House,Above $ 1m,cluster3,One
5420 Dunmoyle Ave,Pittsburgh,PA,15217,"$1,750,000.00 ",,6,6,1963,1,1,1,1,0,54,,3.4,House,Above $ 1m,cluster4,Two
903 Notre Dame Pl,Pittsburgh,PA,15215,"$1,699,000.00 ",,5,4,1934,1,0,1,0,0,83,,1.4,House,Above $ 1m,cluster4,Two
853 Osage Rd,Pittsburgh,PA,15243,"$1,695,000.00 ",,5,6,1981,1,1,1,0,0,36,,4.4,House,Above $ 1m,cluster2,Three
1211 Bennington Ave,Pittsburgh,PA,15217,"$1,690,000.00 ",,6,6,1922,0,1,1,1,1,95,,3.1,House,Above $ 1m,cluster6,Four
537 N Neville 6D # 6D,Oakland,PA,15213,"$1,650,000.00 ",,3,4,1943,1,0,0,0,0,,,2,Condo,Above $ 1m,cluster3,One
118 Riding Trail Ln,Pittsburgh,PA,15215,"$1,650,000.00 ",,5,6,1966,1,1,1,0,0,51,,0.8,House,Above $ 1m,cluster2,Four
215 25Th St # 11,Pittsburgh,PA,15222,"$1,646,169.00 ",,3,3,1946,1,0,1,0,0,71,,3.2,Townhouse,Above $ 1m,cluster4,Two
301 5Th Ave Apt 705,Pittsburgh,PA,15222,"$1,628,800.00 ","2,630",3,3,1985,0,0,1,0,0,32,$619.32 ,3.8,Condo,Above $ 1m,cluster3,One
6300 Crown Ct,Presto,PA,15142,"$1,610,000.00 ","7,661",4,6,1923,0,1,0,0,1,94,$210.16 ,3.4,Foreclosure,Above $ 1m,cluster2,Three
1 Park Ave,Mc Kees Rocks,PA,15136,"$1,600,000.00 ",,0,,1927,1,1,0,0,0,90,,3.1,Lot/Land,Above $ 1m,cluster2,Three
605 Bending Oak Ln,Pittsburgh,PA,15238,"$1,600,000.00 ",,4,6,1990,0,1,0,0,1,27,,3.2,House,Above $ 1m,cluster2,Three
212 Guyasuta Rd,Pittsburgh,PA,15215,"$1,599,999.00 ",,6,8,1903,1,0,1,0,1,114,,3.3,House,Above $ 1m,cluster6,Three
1830 Beechwood Blvd,Pittsburgh,PA,15217,"$1,599,000.00 ",,6,7,1981,0,0,1,0,0,36,,3.3,House,Above $ 1m,cluster3,One
2390 Fairhill Rd,Sewickley,PA,15143,"$1,595,000.00 ",,6,6,1951,0,1,1,0,0,66,,0.2,House,Above $ 1m,cluster3,Two
268 Merriman Rd,Sewickley,PA,15143,"$1,595,000.00 ",,4,5,1952,0,0,0,0,1,65,,3.3,House,Above $ 1m,cluster3,Two
552 Backbone Rd,Sewickley,PA,15143,"$1,595,000.00 ",,4,5,2002,0,0,1,1,1,15,,3.9,House,Above $ 1m,cluster6,Three
1699 Biltmore Ln,Squirrel Hill,PA,15217,"$1,575,000.00 ",,5,6,1946,1,0,1,0,1,,,3.5,House,Above $ 1m,cluster6,Three
1065 Saint Mellion Dr,Presto,PA,15142,"$1,525,000.00 ",,4,6,1906,0,1,0,0,1,111,,1.2,House,Above $ 1m,cluster2,Three
537 N Neville St #6E,Pittsburgh,PA,15213,"$1,500,000.00 ",,3,3,1999,0,1,0,1,0,18,,3.1,Condo,Above $ 1m,cluster1,Four
1235 Parkview Blvd,Pittsburgh,PA,15217,"$1,500,000.00 ",,6,5,1942,0,0,1,1,0,75,,3.4,House,Above $ 1m,cluster4,Two
143 Old Mill Rd,Pittsburgh,PA,15238,"$1,499,900.00 ",,4,6,1944,1,0,1,1,0,73,,3.3,House,Above $ 1m,cluster4,Two
445 Woodland Hills Dr,Pittsburgh,PA,15235,"$1,499,000.00 ","7,498",4,7,1935,1,0,1,1,1,82,$199.92 ,3.5,House,Above $ 1m,cluster6,Three
2015 Blairmont Dr,Pittsburgh,PA,15241,"$1,496,000.00 ",,5,7,2011,1,0,0,1,0,6,,4.3,House,Above $ 1m,cluster4,Two
131 Skymark Ln,Sewickley,PA,15143,"$1,495,000.00 ","5,819",7,7,2010,1,0,1,0,1,7,$256.92 ,5,House,Above $ 1m,cluster6,Three
6031 Walnut St # 6,Pittsburgh,PA,15206,"$1,495,000.00 ",,3,4,2005,0,0,1,1,0,12,,4.4,Condo,Above $ 1m,cluster4,Two
322 Olde Chapel Trl,Pittsburgh,PA,15238,"$1,495,000.00 ",,5,7,1956,1,0,1,1,0,61,,5,House,Above $ 1m,cluster4,Two
584 Squaw Run Rd E,Pittsburgh,PA,15238,"$1,475,000.00 ","4,213",4,5,1922,0,0,1,1,0,95,$350.11 ,5,House,Above $ 1m,cluster4,Two
2431 Brant Ln,Sewickley,PA,15143,"$1,450,000.00 ",,6,6,1949,0,1,0,0,0,68,,3.9,House,Above $ 1m,cluster3,One
336 Olde Chapel Trl,Pittsburgh,PA,15238,"$1,450,000.00 ",,7,8,1990,0,1,0,1,0,27,,3.9,House,Above $ 1m,cluster1,Four
211 Creek Dr,Sewickley,PA,15143,"$1,449,000.00 ",,3,3,1967,1,1,0,1,0,50,,2.3,House,Above $ 1m,cluster1,Three
215 25Th St # 8,Pittsburgh,PA,15222,"$1,442,500.00 ",,3,4,1976,1,0,0,0,0,41,,4.4,Townhouse,Above $ 1m,cluster3,Two
100 Swallow,Elizabeth Twp/Boro,PA,15135,"$1,400,000.00 ",,,,1933,0,1,0,1,1,84,,4.9,Lot/Land,Above $ 1m,cluster1,Three
203 Fairview Rd,Pittsburgh,PA,15238,"$1,400,000.00 ",,5,7,1906,0,0,1,1,1,111,,3.4,House,Above $ 1m,cluster6,Three
104 Hickory Hill Rd,Pittsburgh,PA,15238,"$1,400,000.00 ","6,600",5,6,1986,0,1,1,1,1,31,$212.12 ,4.3,House,Above $ 1m,cluster6,Three
4657 Wellworth Ct,Allison Park,PA,15101,"$1,399,000.00 ","5,522",4,5,1900,0,1,1,1,0,117,$253.35 ,4.1,House,Above $ 1m,cluster1,Four
454 Backbone Rd,Sewickley,PA,15143,"$1,399,000.00 ","5,187",5,5,1970,0,1,0,0,1,47,$269.71 ,4.7,House,Above $ 1m,cluster2,Three
1616 Powers Run Rd,Pittsburgh,PA,15238,"$1,399,000.00 ","3,905",5,4,2007,1,1,1,1,1,10,$358.26 ,0.6,House,Above $ 1m,cluster6,Four
1121 Meridian Dr,Presto,PA,15142,"$1,395,000.00 ",,4,4,1977,0,0,1,1,0,40,,4.7,House,Above $ 1m,cluster4,Two
1706 Hunters Path Ln,Pittsburgh,PA,15241,"$1,395,000.00 ","6,000",5,5,1957,1,1,1,1,1,60,$232.50 ,4.4,House,Above $ 1m,cluster6,Three
775 Larchmont Rd,Pittsburgh,PA,15243,"$1,395,000.00 ",,4,7,1966,1,1,0,0,0,51,,1,House,Above $ 1m,cluster2,Three
4524 Middle Rd,Allison Park,PA,15101,"$1,350,000.00 ","8,072",4,7,2010,0,1,0,0,1,7,$167.24 ,4,Foreclosure,Above $ 1m,cluster2,Three
745 Hookstown Grade Rd,Moon Township,PA,15108,"$1,350,000.00 ",,0,,1942,1,1,1,1,0,75,,1.9,House,Above $ 1m,cluster4,Two
5023 Frew St # 9C,Pittsburgh,PA,15213,"$1,350,000.00 ",,4,4,1977,1,0,0,0,0,40,,4.6,Co-op For Sale,Above $ 1m,cluster3,One
30 Winter Dr,Mc Kees Rocks,PA,15136,"$1,300,000.00 ",,4,5,1914,0,0,1,0,0,103,,5,House,Above $ 1m,cluster3,Two
6027 Broad St,Pittsburgh,PA,15206,"$1,300,000.00 ",,0,,1961,0,1,0,1,0,56,,3.9,House,Above $ 1m,cluster1,Four
5235 Westminster Pl,Pittsburgh,PA,15232,"$1,300,000.00 ",,5,4,1944,0,1,0,0,0,73,,3.3,House,Above $ 1m,cluster3,One
3005 Boardwalk Ct,Glenshaw,PA,15116,"$1,299,000.00 ",,4,5,1970,0,1,1,0,1,47,,3.1,House,Above $ 1m,cluster2,Three
1180 Long Run Rd,White Oak,PA,15131,"$1,295,000.00 ",,0,,1910,1,1,1,1,1,107,,4.4,House,Above $ 1m,cluster6,Three
610 Whispering Pines Dr,Pittsburgh,PA,15238,"$1,287,000.00 ",,4,5,1963,1,1,0,0,0,54,,4.7,House,Above $ 1m,cluster2,Three
516 Spanish Tract Rd,Sewickley,PA,15143,"$1,285,000.00 ",,5,6,2006,1,0,0,1,1,11,,1.8,House,Above $ 1m,cluster6,Three
1650 Hollow Tree Dr,Pittsburgh,PA,15241,"$1,275,000.00 ","6,178",4,4,1924,0,0,0,0,1,93,$206.38 ,4.3,House,Above $ 1m,cluster3,One
Sumner Dr,Mccandless,PA,15101,"$1,250,000.00 ",,5,5,1937,1,0,0,1,0,80,,3.1,New Construction,Above $ 1m,cluster4,Two
Sumner Dr Lot 15,Mccandless,PA,15101,"$1,250,000.00 ",,5,5,1910,1,1,0,0,1,107,,4.3,House,Above $ 1m,cluster2,Three
7000 Pinehurst Dr,Presto,PA,15142,"$1,250,000.00 ","8,000",5,5,1995,1,0,0,0,1,22,$156.25 ,3.9,House,Above $ 1m,cluster2,Three
5867 Wilkins Ave,Pittsburgh,PA,15217,"$1,250,000.00 ",,6,4,1935,0,0,0,0,1,82,,4.4,House,Above $ 1m,cluster3,One
928 Blackburn Rd,Sewickley,PA,15143,"$1,225,000.00 ","5,354",4,4,1952,1,1,1,0,1,65,$228.80 ,4.2,House,Above $ 1m,cluster2,Four
1 Trimont Ln # 860/870D,Mt Washington,PA,15211,"$1,225,000.00 ",,4,4,1980,0,1,1,1,0,,,4.9,Condo,Above $ 1m,cluster1,Three
2405 S Park Rd,Bethel Park,PA,15102,"$1,200,000.00 ","8,000",0,,1941,0,1,0,1,0,76,$150.00 ,3.7,House,Above $ 1m,cluster1,Four
420 Boundary St,Sewickley,PA,15143,"$1,200,000.00 ","4,560",5,5,1923,1,0,1,1,1,94,$263.16 ,4,House,Above $ 1m,cluster6,Three
5023 Frew St # 8D,Pittsburgh,PA,15213,"$1,200,000.00 ",,3,4,1905,1,0,1,0,0,112,,4.5,Co-op For Sale,Above $ 1m,cluster4,Two
Mt. Lebanon Baptist Church 1417 Alabama Ave,Pittsburgh,PA,15216,"$1,200,000.00 ",,0,,1997,1,1,0,1,0,20,,3.6,House,Above $ 1m,cluster1,Four
2640 Middle Rd,Glenshaw,PA,15116,"$1,199,000.00 ","5,560",6,6,1966,0,1,1,0,1,51,$215.65 ,3.2,House,Above $ 1m,cluster2,Three
4284 Lampl Rd,Allison Park,PA,15101,"$1,195,000.00 ","6,043",7,10,1910,0,0,1,0,0,107,$197.75 ,3.1,House,Above $ 1m,cluster3,One
415.5 Woodland Rd,Edgeworth,PA,15143,"$1,195,000.00 ",,,,1959,1,0,0,1,1,58,,4.2,Lot/Land,Above $ 1m,cluster6,Three
18 Whitetail Ln,Pittsburgh,PA,15238,"$1,195,000.00 ","6,550",5,6,1934,1,0,0,1,1,83,$182.44 ,3.6,House,Above $ 1m,cluster6,Three
300 Hardy Dr,Pittsburgh,PA,15241,"$1,195,000.00 ",,5,5,1974,0,0,0,1,0,43,,3.7,House,Above $ 1m,cluster1,Three
70 Charleston Sq,Sewickley,PA,15143,"$1,175,000.00 ","4,792",4,5,1952,1,1,0,0,1,65,$245.20 ,2.4,House,Above $ 1m,cluster2,Three
1067 Milford Dr,Bethel Park,PA,15102,"$1,150,000.00 ",,0,,1921,1,1,0,1,1,96,,3.3,House,Above $ 1m,cluster2,Three
1071 Milford Dr,Bethel Park,PA,15102,"$1,150,000.00 ",,0,,1904,1,1,0,0,1,113,,4.1,House,Above $ 1m,cluster2,Four
0 Library Rd,Bethel Park,PA,15102,"$1,150,000.00 ",,,,1987,1,0,0,1,0,30,,3.8,Lot/Land,Above $ 1m,cluster4,Two
907 Woodland Ave,Oakmont,PA,15139,"$1,150,000.00 ","10,000",6,6,1939,0,1,1,1,0,78,$115.00 ,1.3,House,Above $ 1m,cluster1,Three
125 Witherow Rd,Sewickley,PA,15143,"$1,150,000.00 ",,3,3,2005,1,1,1,1,0,12,,3.2,House,Above $ 1m,cluster4,Two
Stevendale Dr,Pittsburgh,PA,15221,"$1,140,000.00 ","1,144",3,1,1944,1,1,0,1,0,73,$996.50 ,4,Auction,Above $ 1m,cluster5,Five
100 Vista Circle 509 # 509,O_Hara,PA,15238,"$1,130,000.00 ",,3,4,1999,0,0,0,0,1,,,4.2,Condo,Above $ 1m,cluster3,One
9807 Sumner Dr,Allison Park,PA,15101,"$1,129,000.00 ",,4,5,1930,0,1,1,1,1,87,,4.9,House,Above $ 1m,cluster6,Three
3271 Mccully Rd,Allison Park,PA,15101,"$1,125,000.00 ","5,600",4,6,2007,0,1,0,0,0,10,$200.89 ,4.9,House,Above $ 1m,cluster3,One
517-519 Locust Pl,Sewickley,PA,15143,"$1,100,000.00 ","11,000",0,,1999,1,1,0,1,0,18,$100.00 ,1,House,Above $ 1m,cluster1,Three
342 Bigbee St,Pittsburgh,PA,15211,"$1,100,000.00 ",,2,3,1939,1,1,0,0,1,78,,2.8,House,Above $ 1m,cluster2,Three
4919 Centre Ave,Pittsburgh,PA,15213,"$1,100,000.00 ",,0,,1923,0,0,1,0,1,94,,2.7,Apartment,Above $ 1m,cluster6,Three
1319 Parkview Blvd,Pittsburgh,PA,15217,"$1,100,000.00 ","3,543",4,4,1985,1,0,0,1,1,32,$310.47 ,3.5,For Sale by Owner,Above $ 1m,cluster6,Three
1452 Beechwood Blvd,Pittsburgh,PA,15217,"$1,100,000.00 ","5,672",8,7,1989,1,0,1,1,0,28,$193.94 ,4.9,House,Above $ 1m,cluster4,Two
2435 Beechwood Blvd,Pittsburgh,PA,15217,"$1,100,000.00 ","6,000",5,5,1925,0,0,0,1,1,92,$183.33 ,3.9,House,Above $ 1m,cluster6,Three
91 Woodland Dr,Pittsburgh,PA,15228,"$1,100,000.00 ",,5,5,1907,1,1,0,1,0,110,,3.5,House,Above $ 1m,cluster1,Four
1080 Fox Chapel Rd,Pittsburgh,PA,15238,"$1,100,000.00 ",,4,5,2010,0,1,0,1,0,7,,1.4,House,Above $ 1m,cluster1,Four
216 Hillcrest Rd,Pittsburgh,PA,15238,"$1,100,000.00 ","3,950",4,5,1997,1,1,0,1,0,20,$278.48 ,3.1,House,Above $ 1m,cluster1,Three
630 Canterbury Ln,Sewickley,PA,15143,"$1,099,000.00 ",,5,5,1916,1,0,1,1,1,101,,3.3,House,Above $ 1m,cluster6,Three
406 Hartwood Trl,Pittsburgh,PA,15238,"$1,099,000.00 ",,4,6,1974,0,0,1,1,1,43,,0.3,House,Above $ 1m,cluster6,Four
106 Wynnwood Dr,Pittsburgh,PA,15215,"$1,095,000.00 ","7,000",5,5,1982,0,0,1,0,1,35,$156.43 ,3.9,House,Above $ 1m,cluster6,Three
586 Squaw Run Rd E,Pittsburgh,PA,15238,"$1,080,000.00 ","4,630",4,4,1975,0,1,0,0,0,42,$233.26 ,3.4,Foreclosure,Above $ 1m,cluster3,Two
4621 Royal Ave,Coraopolis,PA,15108,"$1,075,000.00 ",,7,7,1910,0,0,1,0,0,107,,3.7,House,Above $ 1m,cluster3,One
100 Vista Circle 507 # 507,O_Hara,PA,15238,"$1,071,510.00 ",,3,4,1912,0,0,0,1,0,,,3.3,Condo,Above $ 1m,cluster1,Four
4005 Park Pl,Glenshaw,PA,15116,"$1,060,000.00 ","3,524",4,5,1911,0,1,0,1,1,106,$300.79 ,3.3,House,Above $ 1m,cluster1,Four
620 Manor Ln,Pittsburgh,PA,15238,"$1,059,000.00 ",,6,8,1964,1,0,1,0,1,53,,4.2,House,Above $ 1m,cluster6,Three
110 Hoodridge Dr,Pittsburgh,PA,15228,"$1,050,000.00 ",,5,4,1982,1,0,0,1,1,35,,0.1,House,Above $ 1m,cluster6,Three
21 Woodland Rd,Sewickley,PA,15143,"$1,047,500.00 ",,5,7,1949,1,1,0,0,1,68,,4,House,Above $ 1m,cluster2,Three
614 Twin Pine Rd,Pittsburgh,PA,15215,"$1,025,000.00 ",,4,5,1901,0,0,0,0,0,116,,3.1,House,Above $ 1m,cluster3,One
Seminole Dr,Pittsburgh,PA,15228,"$1,020,000.00 ","2,100",4,3,1964,0,0,0,0,1,53,$485.71 ,4.4,Auction,Above $ 1m,cluster5,Five
1900 Lowe St,Pittsburgh,PA,15220,"$1,000,000.00 ","66,000",0,,2014,0,0,1,1,0,3,$15.15 ,4.6,House,$500k - $1m,cluster4,Two
2200 Sarah St,Pittsburgh,PA,15203,"$999,999.00 ",,0,,1950,0,0,0,1,1,67,,3.9,Apartment,$500k - $1m,cluster6,Three
151 Fort Pitt Boulevard 1801 # 1801,Downtown Pgh,PA,15222,"$999,999.00 ",,2,2,1981,1,1,1,1,0,,,4.9,Condo,$500k - $1m,cluster4,Two
2075 Saint Andrews Dr,Presto,PA,15142,"$999,900.00 ",,4,4,1915,0,0,1,1,1,102,,3.8,House,$500k - $1m,cluster6,Three
4 Imperial Ct,Pittsburgh,PA,15215,"$999,900.00 ","5,051",4,6,1941,0,1,0,0,1,76,$197.96 ,3.9,House,$500k - $1m,cluster2,Three
5555 Dunmoyle Ave,Pittsburgh,PA,15217,"$999,000.00 ",,3,4,1969,1,0,1,1,0,48,,3.4,House,$500k - $1m,cluster4,Two
717 S Negley Ave,Pittsburgh,PA,15232,"$999,000.00 ",,0,,1919,1,1,0,1,1,98,,3.3,Apartment,$500k - $1m,cluster2,Three
1844 Winchester Dr,Pittsburgh,PA,15241,"$995,900.00 ",,4,5,2009,0,1,0,1,1,8,,4.7,House,$500k - $1m,cluster1,Four
4806 Middle Rd,Hampton,PA,15101,"$995,000.00 ",,5,5,1975,0,0,1,0,1,42,,4.8,House,$500k - $1m,cluster6,Three
300 N Woodland Rd. 2A # 2A,Shadyside,PA,15232,"$995,000.00 ",,3,3,1935,1,0,1,1,1,,,3.7,Condo,$500k - $1m,cluster6,Three
108 Foxtop Dr,Pittsburgh,PA,15238,"$995,000.00 ",,5,5,1915,0,0,1,1,0,102,,4,House,$500k - $1m,cluster4,Two
100 Fair Acres Dr,Upper St Clair,PA,15241,"$995,000.00 ",,4,4,1900,0,0,0,0,0,,,4.5,House,$500k - $1m,cluster3,One
1532 Fox Chase Ln,Pittsburgh,PA,15241,"$995,000.00 ","5,542",5,6,1998,0,1,1,0,0,19,$179.54 ,5,House,$500k - $1m,cluster3,One
47 Thorn St,Sewickley,PA,15143,"$990,000.00 ",,5,5,1993,0,0,0,1,1,24,,2.4,House,$500k - $1m,cluster6,Three
1816 Buena Vista St,Pittsburgh,PA,15214,"$990,000.00 ",,4,2,1937,1,0,1,1,0,80,,4.8,House,$500k - $1m,cluster4,Two
5611 Aylesboro Ave,Pittsburgh,PA,15217,"$989,000.00 ",,5,6,1932,1,0,0,1,1,85,,0.8,House,$500k - $1m,cluster6,Four
8354 Rochester Rd,Pittsburgh,PA,15237,"$985,000.00 ","2,984",4,5,1972,0,1,0,0,0,45,$330.09 ,3.2,House,$500k - $1m,cluster3,One
904 Settlers Ridge Rd,Pittsburgh,PA,15238,"$985,000.00 ",,5,6,1978,1,0,1,1,1,39,,3.4,House,$500k - $1m,cluster6,Three
300 Pasadena Dr N,Pittsburgh,PA,15215,"$975,000.00 ",,5,4,1917,1,1,0,0,0,100,,4.9,House,$500k - $1m,cluster2,Three
5529 Dunmoyle Ave,Pittsburgh,PA,15217,"$975,000.00 ",,8,5,1953,0,0,0,0,1,64,,5,House,$500k - $1m,cluster3,One
627 Woodvalley Dr,Pittsburgh,PA,15238,"$975,000.00 ",,5,6,1912,0,0,0,1,0,105,,3.3,House,$500k - $1m,cluster1,Three
3006 Whispering Creek Dr,Allison Park,PA,15101,"$974,900.00 ","4,900",5,5,1929,0,1,0,0,0,88,$198.96 ,4,House,$500k - $1m,cluster3,One
824 Beaver St,Sewickley,PA,15143,"$974,900.00 ","4,516",7,6,1967,0,0,0,1,1,50,$215.88 ,3.8,House,$500k - $1m,cluster6,Three
