address,city,state,zip, price , sqft ,bedrooms,bathrooms,property age,age in years,parking,heating,basement,attic,green_bldg, price_per_sqft ,seller_rating,sale_type,price_range,cluster,property_score
126 Parkview Dr,Sewickley,PA,15143," $2,400,000 ",,6,10,1944,73,1,1,0,0,0,,3.3,House For Sale,Above $ 1m,cluster2,4
215 25th St # 4,Pittsburgh,PA,15222," $2,400,000 ",,2,3,1999,18,0,1,0,0,1,,4.7,Townhouse For Sale,Above $ 1m,cluster2,4.3
5020 Castleman St,Pittsburgh,PA,15232," $2,399,000 "," 6,615 ",7,6,1951,66,0,1,0,1,0, $362.66 ,3.7,House For Sale,Above $ 1m,cluster1,3.3
Hookstown Grade Rd,Coraopolis,PA,15108," $2,300,000 ",,,,1914,103,1,0,0,0,0,,3.3,Lot/Land For Sale,Above $ 1m,cluster3,1.1
1200 Bennington Ave,Pittsburgh,PA,15217," $2,300,000 "," 5,000 ",8,5,1930,87,0,0,0,1,1, $460.00 ,2.6,House For Sale,Above $ 1m,cluster6,3.2
1540 Fox Chase Ln,Pittsburgh,PA,15241," $2,300,000 ",,6,8,2013,4,1,0,0,1,0,,3.7,House For Sale,Above $ 1m,cluster4,2.4
400 Shady Ave,Pittsburgh,PA,15206," $2,250,000 ",,6,6,2009,8,0,0,0,1,0,,2.3,House For Sale,Above $ 1m,cluster1,3.5
1 Meadowood Ct,Pittsburgh,PA,15215," $2,250,000 ",,5,5,1977,40,0,1,0,1,1,,4.4,House For Sale,Above $ 1m,cluster1,3.4
215 25th St # 9,Pittsburgh,PA,15222," $2,250,000 ",,3,3,2014,3,0,0,1,0,0,,4.6,Townhouse For Sale,Above $ 1m,cluster3,1.2
646 Mount Nebo Rd,Pittsburgh,PA,15237," $2,225,000 ",,2,1,1906,111,0,0,1,0,1,,3.7,House For Sale,Above $ 1m,cluster6,3
918 Settlers Ridge Rd,Pittsburgh,PA,15238," $2,200,000 ",,5,7,1929,88,0,0,0,1,0,,3.2,House For Sale,Above $ 1m,cluster1,3.8
605 5th Ave,Coraopolis,PA,15108," $2,183,500 ",,4,2,1940,77,0,1,1,0,0,,3.6,House For Sale,Above $ 1m,cluster3,1.4
609 5th Ave,Coraopolis,PA,15108," $2,183,500 ",,2,2,1942,75,1,0,1,1,0,,4.1,House For Sale,Above $ 1m,cluster4,2.9
619 5th Ave,Coraopolis,PA,15108," $2,183,500 ",,3,1,1926,91,1,0,1,0,1,,3.3,House For Sale,Above $ 1m,cluster6,3.6
616 5th Ave,Coraopolis,PA,15108," $2,183,500 ",,3,2,1944,73,1,0,0,1,1,,3.5,House For Sale,Above $ 1m,cluster6,3.2
1008 Beaver Rd,Sewickley,PA,15143," $2,150,000 "," 8,147 ",5,6,1991,26,1,0,1,1,1, $263.90 ,4.4,House For Sale,Above $ 1m,cluster6,3
620-640 Rodi Rd,Penn Hills,PA,15235," $2,000,000 "," 10,000 ",0,,1968,,0,0,0,1,0, $200.00 ,3.3,House For Sale,Above $ 1m,cluster1,3.4
106 Stoney Camp Ln,Pittsburgh,PA,15238," $1,999,000 "," 10,500 ",6,10,1927,90,0,0,0,0,0, $190.38 ,1.3,House For Sale,Above $ 1m,cluster3,2
403 Hillside Dr,Sewickley,PA,15143," $1,995,000 "," 8,500 ",7,9,1970,47,1,1,1,0,1, $234.71 ,3.4,House For Sale,Above $ 1m,cluster2,4.1
210 Ridgehaven Ln,Pittsburgh,PA,15238," $1,990,000 ",,,,1957,60,1,1,0,1,0,,5,Lot/Land For Sale,Above $ 1m,cluster1,4.4
111 Creek Dr,Sewickley,PA,15143," $1,975,000 "," 5,126 ",5,6,1931,86,0,0,1,0,0, $385.29 ,4.3,House For Sale,Above $ 1m,cluster3,1.1
1040 Highmont Rd,Pittsburgh,PA,15232," $1,975,000 ",,5,7,1927,90,0,1,1,0,1,,3.6,House For Sale,Above $ 1m,cluster2,3.5
143 Beech Ridge Dr,Sewickley,PA,15143," $1,950,000 ",,6,8,2004,13,0,0,1,1,0,,3.6,House For Sale,Above $ 1m,cluster4,2.5
113 Royston Rd,Pittsburgh,PA,15238," $1,950,000 ",,6,9,1909,108,1,1,0,0,0,,1.9,House For Sale,Above $ 1m,cluster2,4.1
6 Cherrington Ln,Moon Township,PA,15108," $1,900,000 ",,4,6,2009,8,0,1,1,0,1,,3.5,House For Sale,Above $ 1m,cluster2,3.8
550 Market Street 14-B # 14-B,Downtown Pgh,PA,15222," $1,899,900 ",,2,2,1982,,1,1,0,0,1,,0.5,Condo For Sale,Above $ 1m,cluster2,4.3
Standish St,Pittsburgh,PA,15206," $1,870,000 "," 1,508 ",2,1,1996,21,1,1,0,0,0," $1,240.05 ",3.7,Pre-Foreclosure (Auction),Above $ 1m,cluster5,4.6
318 Grant St,Sewickley,PA,15143," $1,850,000 "," 6,362 ",6,6,1977,40,0,0,1,0,0, $290.79 ,4,House For Sale,Above $ 1m,cluster3,2
163 North Dr,Pittsburgh,PA,15238," $1,820,000 ",,4,8,1939,78,1,1,1,0,0,,2.6,House For Sale,Above $ 1m,cluster2,4.3
502 Woodland Rd,Sewickley,PA,15143," $1,799,000 ",,4,4.5,1963,54,1,1,0,0,0,,3.9,House For Sale,Above $ 1m,cluster2,3.8
251 Scaife Rd,Sewickley,PA,15143," $1,795,000 ",,6,8,1961,56,0,0,0,0,0,,4.5,House For Sale,Above $ 1m,cluster3,1.2
5420 Dunmoyle Ave,Pittsburgh,PA,15217," $1,750,000 ",,6,6,1963,54,1,1,1,1,0,,3.4,House For Sale,Above $ 1m,cluster4,2.2
903 Notre Dame Pl,Pittsburgh,PA,15215," $1,699,000 ",,5,4,1934,83,1,0,1,0,0,,1.4,House For Sale,Above $ 1m,cluster4,2.1
853 Osage Rd,Pittsburgh,PA,15243," $1,695,000 ",,5,6,1981,36,1,1,1,0,0,,4.4,House For Sale,Above $ 1m,cluster2,3.1
1211 Bennington Ave,Pittsburgh,PA,15217," $1,690,000 ",,6,6,1922,95,0,1,1,1,1,,3.1,House For Sale,Above $ 1m,cluster6,4
537 N Neville 6d # 6D,Oakland,PA,15213," $1,650,000 ",,3,4,1943,,1,0,0,0,0,,2,Condo For Sale,Above $ 1m,cluster3,1.1
118 Riding Trail Ln,Pittsburgh,PA,15215," $1,650,000 ",,5,6,1966,51,1,1,1,0,0,,0.8,House For Sale,Above $ 1m,cluster2,4.2
215 25th St # 11,Pittsburgh,PA,15222," $1,646,169 ",,3,3,1946,71,1,0,1,0,0,,3.2,Townhouse For Sale,Above $ 1m,cluster4,2.2
301 5th Ave APT 705,Pittsburgh,PA,15222," $1,628,800 "," 2,630 ",3,3,1985,32,0,0,1,0,0, $619.32 ,3.8,Condo For Sale,Above $ 1m,cluster3,1.5
6300 Crown Ct,Presto,PA,15142," $1,610,000 "," 7,661 ",4,5.5,1923,94,0,1,0,0,1, $210.16 ,3.4,Foreclosed,Above $ 1m,cluster2,3
1 Park Ave,Mc Kees Rocks,PA,15136," $1,600,000 ",,0,,1927,90,1,1,0,0,0,,3.1,Lot/Land For Sale,Above $ 1m,cluster2,3.6
605 Bending Oak Ln,Pittsburgh,PA,15238," $1,600,000 ",,4,6,1990,27,0,1,0,0,1,,3.2,House For Sale,Above $ 1m,cluster2,3
212 Guyasuta Rd,Pittsburgh,PA,15215," $1,599,999 ",,6,8,1903,114,1,0,1,0,1,,3.3,House For Sale,Above $ 1m,cluster6,3.8
1830 Beechwood Blvd,Pittsburgh,PA,15217," $1,599,000 ",,6,7,1981,36,0,0,1,0,0,,3.3,House For Sale,Above $ 1m,cluster3,1.6
2390 Fairhill Rd,Sewickley,PA,15143," $1,595,000 ",,6,6,1951,66,0,1,1,0,0,,0.2,House For Sale,Above $ 1m,cluster3,2
268 Merriman Rd,Sewickley,PA,15143," $1,595,000 ",,4,5,1952,65,0,0,0,0,1,,3.3,House For Sale,Above $ 1m,cluster3,2
552 Backbone Rd,Sewickley,PA,15143," $1,595,000 ",,4,5,2002,15,0,0,1,1,1,,3.9,House For Sale,Above $ 1m,cluster6,3.5
1699 Biltmore Ln,Squirrel Hill,PA,15217," $1,575,000 ",,5,6,1946,,1,0,1,0,1,,3.5,House For Sale,Above $ 1m,cluster6,3.5
1065 Saint Mellion Dr,Presto,PA,15142," $1,525,000 ",,4,5.5,1906,111,0,1,0,0,1,,1.2,House For Sale,Above $ 1m,cluster2,3.2
537 N Neville St #6E,Pittsburgh,PA,15213," $1,500,000 ",,3,3,1999,18,0,1,0,1,0,,3.1,Condo For Sale,Above $ 1m,cluster1,4.3
1235 Parkview Blvd,Pittsburgh,PA,15217," $1,500,000 ",,6,5,1942,75,0,0,1,1,0,,3.4,House For Sale,Above $ 1m,cluster4,2.6
143 Old Mill Rd,Pittsburgh,PA,15238," $1,499,900 ",,4,6,1944,73,1,0,1,1,0,,3.3,House For Sale,Above $ 1m,cluster4,2.2
445 Woodland Hills Dr,Pittsburgh,PA,15235," $1,499,000 "," 7,498 ",4,7,1935,82,1,0,1,1,1, $199.92 ,3.5,House For Sale,Above $ 1m,cluster6,3.8
2015 Blairmont Dr,Pittsburgh,PA,15241," $1,496,000 ",,5,7,2011,6,1,0,0,1,0,,4.3,House For Sale,Above $ 1m,cluster4,2
131 Skymark Ln,Sewickley,PA,15143," $1,495,000 "," 5,819 ",7,7,2010,7,1,0,1,0,1, $256.92 ,5,House For Sale,Above $ 1m,cluster6,3.9
6031 Walnut St # 6,Pittsburgh,PA,15206," $1,495,000 ",,3,4,2005,12,0,0,1,1,0,,4.4,Condo For Sale,Above $ 1m,cluster4,2.6
322 Olde Chapel Trl,Pittsburgh,PA,15238," $1,495,000 ",,5,7,1956,61,1,0,1,1,0,,5,House For Sale,Above $ 1m,cluster4,2.4
584 Squaw Run Rd E,Pittsburgh,PA,15238," $1,475,000 "," 4,213 ",4,5,1922,95,0,0,1,1,0, $350.11 ,5,House For Sale,Above $ 1m,cluster4,2.7
2431 Brant Ln,Sewickley,PA,15143," $1,450,000 ",,6,6,1949,68,0,1,0,0,0,,3.9,House For Sale,Above $ 1m,cluster3,1.7
336 Olde Chapel Trl,Pittsburgh,PA,15238," $1,450,000 ",,7,8,1990,27,0,1,0,1,0,,3.9,House For Sale,Above $ 1m,cluster1,4.1
211 Creek Dr,Sewickley,PA,15143," $1,449,000 ",,3,3,1967,50,1,1,0,1,0,,2.3,House For Sale,Above $ 1m,cluster1,3.7
215 25th St # 8,Pittsburgh,PA,15222," $1,442,500 ",,3,4,1976,41,1,0,0,0,0,,4.4,Townhouse For Sale,Above $ 1m,cluster3,2
100 Swallow,Elizabeth Twp/Boro,PA,15135," $1,400,000 ",,,,1933,84,0,1,0,1,1,,4.9,Lot/Land For Sale,Above $ 1m,cluster1,3.9
203 Fairview Rd,Pittsburgh,PA,15238," $1,400,000 ",,5,7,1906,111,0,0,1,1,1,,3.4,House For Sale,Above $ 1m,cluster6,3.1
104 Hickory Hill Rd,Pittsburgh,PA,15238," $1,400,000 "," 6,600 ",5,6,1986,31,0,1,1,1,1, $212.12 ,4.3,House For Sale,Above $ 1m,cluster6,3.4
4657 Wellworth Ct,Allison Park,PA,15101," $1,399,000 "," 5,522 ",4,5,1900,117,0,1,1,1,0, $253.35 ,4.1,House For Sale,Above $ 1m,cluster1,4.4
454 Backbone Rd,Sewickley,PA,15143," $1,399,000 "," 5,187 ",5,5,1970,47,0,1,0,0,1, $269.71 ,4.7,House For Sale,Above $ 1m,cluster2,3.5
1616 Powers Run Rd,Pittsburgh,PA,15238," $1,399,000 "," 3,905 ",5,4,2007,10,1,1,1,1,1, $358.26 ,0.6,House For Sale,Above $ 1m,cluster6,4
1121 Meridian Dr,Presto,PA,15142," $1,395,000 ",,4,4,1977,40,0,0,1,1,0,,4.7,House For Sale,Above $ 1m,cluster4,2.6
1706 Hunters Path Ln,Pittsburgh,PA,15241," $1,395,000 "," 6,000 ",5,5,1957,60,1,1,1,1,1, $232.50 ,4.4,House For Sale,Above $ 1m,cluster6,3.8
775 Larchmont Rd,Pittsburgh,PA,15243," $1,395,000 ",,4,7,1966,51,1,1,0,0,0,,1,House For Sale,Above $ 1m,cluster2,3
4524 Middle Rd,Allison Park,PA,15101," $1,350,000 "," 8,072 ",4,7,2010,7,0,1,0,0,1, $167.24 ,4,Foreclosed,Above $ 1m,cluster2,3.4
745 Hookstown Grade Rd,Moon Township,PA,15108," $1,350,000 ",,0,,1942,75,1,1,1,1,0,,1.9,House For Sale,Above $ 1m,cluster4,2.7
5023 Frew St # 9C,Pittsburgh,PA,15213," $1,350,000 ",,4,4,1977,40,1,0,0,0,0,,4.6,Co-op For Sale,Above $ 1m,cluster3,1.8
30 Winter Dr,Mc Kees Rocks,PA,15136," $1,300,000 ",,4,5,1914,103,0,0,1,0,0,,5,House For Sale,Above $ 1m,cluster3,2
6027 Broad St,Pittsburgh,PA,15206," $1,300,000 ",,0,,1961,56,0,1,0,1,0,,3.9,House For Sale,Above $ 1m,cluster1,4.2
5235 Westminster Pl,Pittsburgh,PA,15232," $1,300,000 ",,5,4,1944,73,0,1,0,0,0,,3.3,House For Sale,Above $ 1m,cluster3,1.5
3005 Boardwalk Ct,Glenshaw,PA,15116," $1,299,000 ",,4,5,1970,47,0,1,1,0,1,,3.1,House For Sale,Above $ 1m,cluster2,3.9
1180 Long Run Rd,White Oak,PA,15131," $1,295,000 ",,0,,1910,107,1,1,1,1,1,,4.4,House For Sale,Above $ 1m,cluster6,3.2
610 Whispering Pines Dr,Pittsburgh,PA,15238," $1,287,000 ",,4,5,1963,54,1,1,0,0,0,,4.7,House For Sale,Above $ 1m,cluster2,3.5
516 Spanish Tract Rd,Sewickley,PA,15143," $1,285,000 ",,5,6,2006,11,1,0,0,1,1,,1.8,House For Sale,Above $ 1m,cluster6,3.1
1650 Hollow Tree Dr,Pittsburgh,PA,15241," $1,275,000 "," 6,178 ",4,4,1924,93,0,0,0,0,1, $206.38 ,4.3,House For Sale,Above $ 1m,cluster3,1.5
Sumner Dr,Mccandless,PA,15101," $1,250,000 ",,5,5,1937,80,1,0,0,1,0,,3.1,New Construction,Above $ 1m,cluster4,2.6
Sumner Dr LOT 15,Mccandless,PA,15101," $1,250,000 ",,5,5,1910,107,1,1,0,0,1,,4.3,House For Sale,Above $ 1m,cluster2,3.5
7000 Pinehurst Dr,Presto,PA,15142," $1,250,000 "," 8,000 ",5,5,1995,22,1,0,0,0,1, $156.25 ,3.9,House For Sale,Above $ 1m,cluster2,3.5
5867 Wilkins Ave,Pittsburgh,PA,15217," $1,250,000 ",,6,4,1935,82,0,0,0,0,1,,4.4,House For Sale,Above $ 1m,cluster3,1.6
928 Blackburn Rd,Sewickley,PA,15143," $1,225,000 "," 5,354 ",4,4,1952,65,1,1,1,0,1, $228.80 ,4.2,House For Sale,Above $ 1m,cluster2,4.4
1 Trimont Ln # 860/870D,Mt Washington,PA,15211," $1,225,000 ",,4,4,1980,,0,1,1,1,0,,4.9,Condo For Sale,Above $ 1m,cluster1,3.5
2405 S Park Rd,Bethel Park,PA,15102," $1,200,000 "," 8,000 ",0,,1941,76,0,1,0,1,0, $150.00 ,3.7,House For Sale,Above $ 1m,cluster1,4.4
420 Boundary St,Sewickley,PA,15143," $1,200,000 "," 4,560 ",5,5,1923,94,1,0,1,1,1, $263.16 ,4,House For Sale,Above $ 1m,cluster6,3.3
5023 Frew St # 8D,Pittsburgh,PA,15213," $1,200,000 ",,3,4,1905,112,1,0,1,0,0,,4.5,Co-op For Sale,Above $ 1m,cluster4,2.8
MT. Lebanon Baptist Church 1417 Alabama Ave,Pittsburgh,PA,15216," $1,200,000 ",,0,,1997,20,1,1,0,1,0,,3.6,House For Sale,Above $ 1m,cluster1,4.2
2640 Middle Rd,Glenshaw,PA,15116," $1,199,000 "," 5,560 ",6,6,1966,51,0,1,1,0,1, $215.65 ,3.2,House For Sale,Above $ 1m,cluster2,3.3
4284 Lampl Rd,Allison Park,PA,15101," $1,195,000 "," 6,043 ",7,10,1910,107,0,0,1,0,0, $197.75 ,3.1,House For Sale,Above $ 1m,cluster3,1.4
415.5 Woodland Rd,Edgeworth,PA,15143," $1,195,000 ",,,,1959,58,1,0,0,1,1,,4.2,Lot/Land For Sale,Above $ 1m,cluster6,3
18 Whitetail Ln,Pittsburgh,PA,15238," $1,195,000 "," 6,550 ",5,5.5,1934,83,1,0,0,1,1, $182.44 ,3.6,House For Sale,Above $ 1m,cluster6,3
300 Hardy Dr,Pittsburgh,PA,15241," $1,195,000 ",,5,4.5,1974,43,0,0,0,1,0,,3.7,House For Sale,Above $ 1m,cluster1,3.8
70 Charleston Sq,Sewickley,PA,15143," $1,175,000 "," 4,792 ",4,5,1952,65,1,1,0,0,1, $245.20 ,2.4,House For Sale,Above $ 1m,cluster2,3.5
1067 Milford Dr,Bethel Park,PA,15102," $1,150,000 ",,0,,1921,96,1,1,0,1,1,,3.3,House For Sale,Above $ 1m,cluster2,3.8
1071 Milford Dr,Bethel Park,PA,15102," $1,150,000 ",,0,,1904,113,1,1,0,0,1,,4.1,House For Sale,Above $ 1m,cluster2,4.2
0 Library Rd,Bethel Park,PA,15102," $1,150,000 ",,,,1987,30,1,0,0,1,0,,3.8,Lot/Land For Sale,Above $ 1m,cluster4,2.7
907 Woodland Ave,Oakmont,PA,15139," $1,150,000 "," 10,000 ",6,6,1939,78,0,1,1,1,0, $115.00 ,1.3,House For Sale,Above $ 1m,cluster1,3.2
125 Witherow Rd,Sewickley,PA,15143," $1,150,000 ",,3,3,2005,12,1,1,1,1,0,,3.2,House For Sale,Above $ 1m,cluster4,2.3
Stevendale Dr,Pittsburgh,PA,15221," $1,140,000 "," 1,144 ",3,1,1944,73,1,1,0,1,0, $996.50 ,4,Pre-Foreclosure (Auction),Above $ 1m,cluster5,4.7
100 Vista Circle 509 # 509,O_Hara,PA,15238," $1,130,000 ",,3,4,1999,,0,0,0,0,1,,4.2,Condo For Sale,Above $ 1m,cluster3,1.6
9807 Sumner Dr,Allison Park,PA,15101," $1,129,000 ",,4,5,1930,87,0,1,1,1,1,,4.9,House For Sale,Above $ 1m,cluster6,3
3271 Mccully Rd,Allison Park,PA,15101," $1,125,000 "," 5,600 ",4,6,2007,10,0,1,0,0,0, $200.89 ,4.9,House For Sale,Above $ 1m,cluster3,1.4
517-519 Locust Pl,Sewickley,PA,15143," $1,100,000 "," 11,000 ",0,,1999,18,1,1,0,1,0, $100.00 ,1,House For Sale,Above $ 1m,cluster1,3.1
342 Bigbee St,Pittsburgh,PA,15211," $1,100,000 ",,2,3,1939,78,1,1,0,0,1,,2.8,House For Sale,Above $ 1m,cluster2,3.1
4919 Centre Ave,Pittsburgh,PA,15213," $1,100,000 ",,0,,1923,94,0,0,1,0,1,,2.7,Apartment For Sale,Above $ 1m,cluster6,3.9
1319 Parkview Blvd,Pittsburgh,PA,15217," $1,100,000 "," 3,543 ",4,4,1985,32,1,0,0,1,1, $310.47 ,3.5,For Sale by Owner,Above $ 1m,cluster6,3.3
1452 Beechwood Blvd,Pittsburgh,PA,15217," $1,100,000 "," 5,672 ",8,7,1989,28,1,0,1,1,0, $193.94 ,4.9,House For Sale,Above $ 1m,cluster4,2
2435 Beechwood Blvd,Pittsburgh,PA,15217," $1,100,000 "," 6,000 ",5,5,1925,92,0,0,0,1,1, $183.33 ,3.9,House For Sale,Above $ 1m,cluster6,3.9
91 Woodland Dr,Pittsburgh,PA,15228," $1,100,000 ",,5,5,1907,110,1,1,0,1,0,,3.5,House For Sale,Above $ 1m,cluster1,4.3
1080 Fox Chapel Rd,Pittsburgh,PA,15238," $1,100,000 ",,4,5,2010,7,0,1,0,1,0,,1.4,House For Sale,Above $ 1m,cluster1,4.1
216 Hillcrest Rd,Pittsburgh,PA,15238," $1,100,000 "," 3,950 ",4,5,1997,20,1,1,0,1,0, $278.48 ,3.1,House For Sale,Above $ 1m,cluster1,3.4
630 Canterbury Ln,Sewickley,PA,15143," $1,099,000 ",,5,5,1916,101,1,0,1,1,1,,3.3,House For Sale,Above $ 1m,cluster6,3.5
406 Hartwood Trl,Pittsburgh,PA,15238," $1,099,000 ",,4,6,1974,43,0,0,1,1,1,,0.3,House For Sale,Above $ 1m,cluster6,4
106 Wynnwood Dr,Pittsburgh,PA,15215," $1,095,000 "," 7,000 ",5,5,1982,35,0,0,1,0,1, $156.43 ,3.9,House For Sale,Above $ 1m,cluster6,3.5
586 Squaw Run Rd E,Pittsburgh,PA,15238," $1,080,000 "," 4,630 ",4,3.5,1975,42,0,1,0,0,0, $233.26 ,3.4,Foreclosed,Above $ 1m,cluster3,2
4621 Royal Ave,Coraopolis,PA,15108," $1,075,000 ",,7,6.5,1910,107,0,0,1,0,0,,3.7,House For Sale,Above $ 1m,cluster3,1.8
100 Vista Circle 507 # 507,O_Hara,PA,15238," $1,071,510 ",,3,4,1912,,0,0,0,1,0,,3.3,Condo For Sale,Above $ 1m,cluster1,4
4005 Park Pl,Glenshaw,PA,15116," $1,060,000 "," 3,524 ",4,5,1911,106,0,1,0,1,1, $300.79 ,3.3,House For Sale,Above $ 1m,cluster1,4.1
620 Manor Ln,Pittsburgh,PA,15238," $1,059,000 ",,6,8,1964,53,1,0,1,0,1,,4.2,House For Sale,Above $ 1m,cluster6,3
110 Hoodridge Dr,Pittsburgh,PA,15228," $1,050,000 ",,5,4,1982,35,1,0,0,1,1,,0.1,House For Sale,Above $ 1m,cluster6,3.7
21 Woodland Rd,Sewickley,PA,15143," $1,047,500 ",,5,7,1949,68,1,1,0,0,1,,4,House For Sale,Above $ 1m,cluster2,3.5
614 Twin Pine Rd,Pittsburgh,PA,15215," $1,025,000 ",,4,5,1901,116,0,0,0,0,0,,3.1,House For Sale,Above $ 1m,cluster3,1.3
Seminole Dr,Pittsburgh,PA,15228," $1,020,000 "," 2,100 ",4,2.5,1964,53,0,0,0,0,1, $485.71 ,4.4,Pre-Foreclosure (Auction),Above $ 1m,cluster5,4.6
1900 Lowe St,Pittsburgh,PA,15220," $1,000,000 "," 66,000 ",0,,2014,3,0,0,1,1,0, $15.15 ,4.6,House For Sale,$500k - $1m,cluster4,2.5
2200 Sarah St,Pittsburgh,PA,15203," $999,999 ",,0,,1950,67,0,0,0,1,1,,3.9,Apartment For Sale,$500k - $1m,cluster6,3
151 Fort Pitt Boulevard 1801 # 1801,Downtown Pgh,PA,15222," $999,999 ",,2,2,1981,,1,1,1,1,0,,4.9,Condo For Sale,$500k - $1m,cluster4,2.4
2075 Saint Andrews Dr,Presto,PA,15142," $999,900 ",,4,4,1915,102,0,0,1,1,1,,3.8,House For Sale,$500k - $1m,cluster6,3.8
4 Imperial Ct,Pittsburgh,PA,15215," $999,900 "," 5,051 ",4,6,1941,76,0,1,0,0,1, $197.96 ,3.9,House For Sale,$500k - $1m,cluster2,3.1
5555 Dunmoyle Ave,Pittsburgh,PA,15217," $999,000 ",,3,4,1969,48,1,0,1,1,0,,3.4,House For Sale,$500k - $1m,cluster4,2.7
717 S Negley Ave,Pittsburgh,PA,15232," $999,000 ",,0,,1919,98,1,1,0,1,1,,3.3,Apartment For Sale,$500k - $1m,cluster2,3.1
1844 Winchester Dr,Pittsburgh,PA,15241," $995,900 ",,4,5,2009,8,0,1,0,1,1,,4.7,House For Sale,$500k - $1m,cluster1,4
4806 Middle Rd,Hampton,PA,15101," $995,000 ",,5,5,1975,42,0,0,1,0,1,,4.8,House For Sale,$500k - $1m,cluster6,3
300 N Woodland Rd. 2a # 2A,Shadyside,PA,15232," $995,000 ",,3,3,1935,,1,0,1,1,1,,3.7,Condo For Sale,$500k - $1m,cluster6,3.4
108 Foxtop Dr,Pittsburgh,PA,15238," $995,000 ",,5,5,1915,102,0,0,1,1,0,,4,House For Sale,$500k - $1m,cluster4,2.8
100 Fair Acres Dr,Upper St Clair,PA,15241," $995,000 ",,4,4,1900,,0,0,0,0,0,,4.5,House For Sale,$500k - $1m,cluster3,1.3
1532 Fox Chase Ln,Pittsburgh,PA,15241," $995,000 "," 5,542 ",5,6,1998,19,0,1,1,0,0, $179.54 ,5,House For Sale,$500k - $1m,cluster3,1
47 Thorn St,Sewickley,PA,15143," $990,000 ",,5,5,1993,24,0,0,0,1,1,,2.4,House For Sale,$500k - $1m,cluster6,3.1
1816 Buena Vista St,Pittsburgh,PA,15214," $990,000 ",,4,2,1937,80,1,0,1,1,0,,4.8,House For Sale,$500k - $1m,cluster4,2.7
5611 Aylesboro Ave,Pittsburgh,PA,15217," $989,000 ",,5,6,1932,85,1,0,0,1,1,,0.8,House For Sale,$500k - $1m,cluster6,4
8354 Rochester Rd,Pittsburgh,PA,15237," $985,000 "," 2,984 ",4,5,1972,45,0,1,0,0,0, $330.09 ,3.2,House For Sale,$500k - $1m,cluster3,1.4
904 Settlers Ridge Rd,Pittsburgh,PA,15238," $985,000 ",,5,6,1978,39,1,0,1,1,1,,3.4,House For Sale,$500k - $1m,cluster6,3.1
